count_mitoXlysoXER_sites_not_in_higher_order,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXlyso_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_mitoXlyso_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_mitoXlyso_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_mitoXlyso_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_mitoXlyso_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_mitoXlyso_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXgolgi_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_mitoXgolgi_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_mitoXgolgi_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_mitoXgolgi_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_mitoXgolgi_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_mitoXgolgi_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_mitoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_mitoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_mitoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_mitoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_mitoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_mitoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_mitoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_mitoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_mitoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_mitoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXLD_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_mitoXLD_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_mitoXLD_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_mitoXLD_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_mitoXLD_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_mitoXLD_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_lysoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_lysoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_lysoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_lysoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_lysoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_lysoXperox_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_lysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_lysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_lysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_lysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_lysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_lysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_golgiXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_golgiXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_golgiXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_golgiXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_golgiXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_golgiXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_peroxXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_peroxXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_peroxXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_peroxXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_peroxXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_peroxXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXlysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_lyso_mitoXlysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_golgi_mitoXlysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_perox_mitoXlysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_ER_mitoXlysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_LD_mitoXlysoXER_count,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
total_mito_mitoXlyso_volume,Flattened per-image/per-mask summary metric for a specific object and metric family.,"Combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures.","Value comes from upstream grouped summaries (pandas groupby mean/median/std/sum/count/fraction) of morphology, interaction, or distribution metrics.","pandas (groupby, agg); infer-subc.quantification.batch","flattened per-image/per-mask summary metric for a specific object and metric family. combined table is intended for downstream statistics/visualization, with one row per image-mask context containing cross-module signatures"
