column_name,what_it_measures,why_included_in_analysis,how_value_is_computed,computation_tools,narrative_summary
zernike_cytoplasm_mag,Magnitude of Zernike coefficient(s) for projected spatial pattern.,Captures rotationally informative spatial-shape signature of object localization.,For each basis term: `sqrt(vr^2 + vi^2) / sum(pixels)` where `vr` and `vi` are real/imaginary projections.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,magnitude of Zernike coefficient(s) for projected spatial pattern. captures rotationally informative spatial-shape signature of object localization
zernike_whole_image_mag,Magnitude of Zernike coefficient(s) for projected spatial pattern.,Captures rotationally informative spatial-shape signature of object localization.,For each basis term: `sqrt(vr^2 + vi^2) / sum(pixels)` where `vr` and `vi` are real/imaginary projections.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,magnitude of Zernike coefficient(s) for projected spatial pattern. captures rotationally informative spatial-shape signature of object localization
zernike_cell_phs,Phase of Zernike coefficient(s) for projected spatial pattern.,Complements magnitude by preserving angular phase information in spatial organization.,"For each basis term: `atan2(vr, vi)` from real/imaginary Zernike projections.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,phase of Zernike coefficient(s) for projected spatial pattern. complements magnitude by preserving angular phase information in spatial organization
zernike_nuc_phs,Phase of Zernike coefficient(s) for projected spatial pattern.,Complements magnitude by preserving angular phase information in spatial organization.,"For each basis term: `atan2(vr, vi)` from real/imaginary Zernike projections.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,phase of Zernike coefficient(s) for projected spatial pattern. complements magnitude by preserving angular phase information in spatial organization
zernike_cytoplasm_phs,Phase of Zernike coefficient(s) for projected spatial pattern.,Complements magnitude by preserving angular phase information in spatial organization.,"For each basis term: `atan2(vr, vi)` from real/imaginary Zernike projections.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,phase of Zernike coefficient(s) for projected spatial pattern. complements magnitude by preserving angular phase information in spatial organization
zernike_whole_image_phs,Phase of Zernike coefficient(s) for projected spatial pattern.,Complements magnitude by preserving angular phase information in spatial organization.,"For each basis term: `atan2(vr, vi)` from real/imaginary Zernike projections.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,phase of Zernike coefficient(s) for projected spatial pattern. complements magnitude by preserving angular phase information in spatial organization
zernike_obj_mag,Magnitude of Zernike coefficient(s) for projected spatial pattern.,Captures rotationally informative spatial-shape signature of object localization.,For each basis term: `sqrt(vr^2 + vi^2) / sum(pixels)` where `vr` and `vi` are real/imaginary projections.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,magnitude of Zernike coefficient(s) for projected spatial pattern. captures rotationally informative spatial-shape signature of object localization
zernike_obj_phs,Phase of Zernike coefficient(s) for projected spatial pattern.,Complements magnitude by preserving angular phase information in spatial organization.,"For each basis term: `atan2(vr, vi)` from real/imaginary Zernike projections.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,phase of Zernike coefficient(s) for projected spatial pattern. complements magnitude by preserving angular phase information in spatial organization
zernike_center_mag,Magnitude of Zernike coefficient(s) for projected spatial pattern.,Captures rotationally informative spatial-shape signature of object localization.,For each basis term: `sqrt(vr^2 + vi^2) / sum(pixels)` where `vr` and `vi` are real/imaginary projections.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,magnitude of Zernike coefficient(s) for projected spatial pattern. captures rotationally informative spatial-shape signature of object localization
zernike_center_phs,Phase of Zernike coefficient(s) for projected spatial pattern.,Complements magnitude by preserving angular phase information in spatial organization.,"For each basis term: `atan2(vr, vi)` from real/imaginary Zernike projections.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,phase of Zernike coefficient(s) for projected spatial pattern. complements magnitude by preserving angular phase information in spatial organization
Z_n_slices,Number of Z planes in the image stack.,Defines depth resolution and support for Z-distribution profiles.,`obj.shape[0]` from 3D stack dimension.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,number of Z planes in the image stack. defines depth resolution and support for Z-distribution profiles
Z_slices,Ordered Z indices used for depth-profile quantification.,Provides axis values to interpret depth-dependent occupancy vectors.,Integer range from 0 to `Z_n_slices - 1`.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,"Axial (Z-depth) occupancy profiles quantify organelle localization along the apical-basal axis or relative depth in thick specimens, revealing three-dimensional organelle organization and highlighting apical or basal enrichment patterns."
Z_cell_vox_cnt,Voxel count per Z slice for the specified structure.,Measures axial localization (for example apical-basal enrichment).,"For each Z plane, infer-subc sums masked binary occupancy across XY.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count per Z slice for the specified structure. measures axial localization (for example apical-basal enrichment)
Z_nuc_vox_cnt,Voxel count per Z slice for the specified structure.,Measures axial localization (for example apical-basal enrichment).,"For each Z plane, infer-subc sums masked binary occupancy across XY.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count per Z slice for the specified structure. measures axial localization (for example apical-basal enrichment)
Z_cytoplasm_vox_cnt,Voxel count per Z slice for the specified structure.,Measures axial localization (for example apical-basal enrichment).,"For each Z plane, infer-subc sums masked binary occupancy across XY.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count per Z slice for the specified structure. measures axial localization (for example apical-basal enrichment)
Z_whole_image_vox_cnt,Voxel count per Z slice for the specified structure.,Measures axial localization (for example apical-basal enrichment).,"For each Z plane, infer-subc sums masked binary occupancy across XY.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count per Z slice for the specified structure. measures axial localization (for example apical-basal enrichment)
Z_obj_vox_cnt,Voxel count per Z slice for the specified structure.,Measures axial localization (for example apical-basal enrichment).,"For each Z plane, infer-subc sums masked binary occupancy across XY.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count per Z slice for the specified structure. measures axial localization (for example apical-basal enrichment)
Z_center_vox_cnt,Voxel count per Z slice for the specified structure.,Measures axial localization (for example apical-basal enrichment).,"For each Z plane, infer-subc sums masked binary occupancy across XY.",numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,voxel count per Z slice for the specified structure. measures axial localization (for example apical-basal enrichment)
Z_height,Physical depth of the analyzed stack.,Gives physical context for Z-profile comparisons.,`Z_n_slices * scale_z`.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,physical depth of the analyzed stack. gives physical context for Z-profile comparisons
Z_cell_volume,Scaled physical-volume profile per Z slice.,Converts axial occupancy profiles to physical units for biological interpretation.,`Z_*_vox_cnt * (scale_z * scale_y * scale_x)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume profile per Z slice. converts axial occupancy profiles to physical units for biological interpretation
Z_nuc_volume,Scaled physical-volume profile per Z slice.,Converts axial occupancy profiles to physical units for biological interpretation.,`Z_*_vox_cnt * (scale_z * scale_y * scale_x)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume profile per Z slice. converts axial occupancy profiles to physical units for biological interpretation
Z_cytoplasm_volume,Scaled physical-volume profile per Z slice.,Converts axial occupancy profiles to physical units for biological interpretation.,`Z_*_vox_cnt * (scale_z * scale_y * scale_x)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume profile per Z slice. converts axial occupancy profiles to physical units for biological interpretation
Z_whole_image_volume,Scaled physical-volume profile per Z slice.,Converts axial occupancy profiles to physical units for biological interpretation.,`Z_*_vox_cnt * (scale_z * scale_y * scale_x)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume profile per Z slice. converts axial occupancy profiles to physical units for biological interpretation
Z_obj_volume,Scaled physical-volume profile per Z slice.,Converts axial occupancy profiles to physical units for biological interpretation.,`Z_*_vox_cnt * (scale_z * scale_y * scale_x)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume profile per Z slice. converts axial occupancy profiles to physical units for biological interpretation
Z_center_volume,Scaled physical-volume profile per Z slice.,Converts axial occupancy profiles to physical units for biological interpretation.,`Z_*_vox_cnt * (scale_z * scale_y * scale_x)` element-wise.,numpy; scipy (coo_matrix); centrosome (Zernike/cell profiler geometry); infer-subc.quantification.distribution; infer-subc.quantification.interactions,scaled physical-volume profile per Z slice. converts axial occupancy profiles to physical units for biological interpretation
